****************************************
* Copied from https://code.qt.io/cgit/ *
****************************************

Name	Description	Owner	Idle	Links
clang/clang-tools-extra.git	(deprecated) Vendor branches of https://git.llvm.org/git/clang-tools-extra.git ,...		16 months	summarylogtree
clang/clang.git	(deprecated) Vendor branches of https://git.llvm.org/git/clang.git , use clang/l...		16 months	summarylogtree
clang/clazy.git	Vendor branches of https://cgit.kde.org/clazy.git/		6 months	summarylogtree
clang/llvm-project.git	Vendor branches of https://github.com/llvm/llvm-project.git		4 hours	summarylogtree
clang/llvm.git	Vendor branches of https://github.com/llvm/llvm-project.git		4 hours	summarylogtree
installer-framework/installer-framework.git	Qt Installer Framework		8 weeks	summarylogtree
license-tools/license-service.git	The Qt License Service is a gateway between Qt License Server and Qt developer t...			summarylogtree
meta/quips.git	QUIP stands for Qt's Utilitarian Improvement Process and for Qt User-Submitted I...		2 months	summarylogtree
ministro/ministro.git	Ministro for Android		16 months	summarylogtree
playground/alignedtimer.git	Aligned Timer Experiment		16 months	summarylogtree
playground/artboard.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
playground/conan.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
playground/mimetypes.git	Mime Type detection for Qt 4		16 months	summarylogtree
playground/qlitehtml.git	Lightweight HTML/CSS viewer for Qt, using litehtml (https://github.com/litehtml/...		8 weeks	summarylogtree
playground/qmldbusplugin.git	D-Bus module for QML. Will be merged into qtdeclarative proper at a later point.		16 months	summarylogtree
playground/qt-creator/plugin-gammaray.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
playground/qt-creator/plugin-scripting.git	Scripting plugin for Qt Creator		16 months	summarylogtree
playground/qtaudio3d.git	Qt Audio 3D		16 months	summarylogtree
playground/qtcleveraudioplugin.git	Qt Integration with the CLever Audio Plugin standard			summarylogtree
playground/qtfluentmq.git	Unnamed repository; edit this file 'description' to name the repository.			summarylogtree
playground/qtjsonstream.git	Qt JSON Stream		16 months	summarylogtree
playground/qtmirserver.git	QPA plugin and support module to enable Qt/QML be a Mir display server		16 months	summarylogtree
playground/qtmock-ng.git	Qt Mock-NG		16 months	summarylogtree
playground/qtprocessmanager.git	Qt Process Manager Experiment		16 months	summarylogtree
playground/qtqmlandroid.git	QML wrappers for native Android controls.		16 months	summarylogtree
playground/qtsystemtest.git	Qt System Test		16 months	summarylogtree
playground/scenegraph.git	New Scene Graph Prototype		16 months	summarylogtree
playground/uihelpers.git	Qt UI Helpers		16 months	summarylogtree
pyside/apiextractor.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
pyside/examples.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...			summarylogtree
pyside/generatorrunner.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
pyside/pyside-setup.git	Git super project for PySide		6 months	summarylogtree
pyside/pyside-tools.git	Sub-module of pyside-setup, containing tools			summarylogtree
pyside/pyside.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
pyside/shiboken.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
qbs/qbs.git	"Cubes" - Modern build tool for software projects		3 hours	summarylogtree
qt-apps/boot2qt-appcontroller.git	Application launcher for Boot2Qt			summarylogtree
qt-apps/boot2qt-demos.git	Demos for Boot2Qt			summarylogtree
qt-apps/boot2qt-launcher.git	Demo launcher for Boot2Qt			summarylogtree
qt-apps/demo-assets.git	Shared assets for Qt demos.		16 months	summarylogtree
qt-apps/gammaray-plugin-qtivi.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
qt-apps/kdab-qt3d-addons.git	Automotive-related models for Qt3D			summarylogtree
qt-apps/kria-cluster-2d-demo.git	Kria Digital Instrument Cluster Demo in 2D space.		16 months	summarylogtree
qt-apps/multiscreen-demo.git	Multi-screen automotive demo		16 months	summarylogtree
qt-apps/neptune-ui.git	The Neptune Automotive Reference UI			summarylogtree
qt-apps/neptune3-ui.git	The Neptune 3 Automotive Reference UI		16 months	summarylogtree
qt-apps/pcore-qt-auto-cookbook.git	Qt Automotive Cookbook			summarylogtree
qt-apps/qdb.git	Qt Debug Bridge - Tool for controlling Boot2Qt devices		8 months	summarylogtree
qt-apps/qmllive.git	QmlLive live reloader environment for rapid UI development			summarylogtree
qt-apps/qt-auto-extra-apps.git	Additional apps provided for installation in Qt Automotive Suite		16 months	summarylogtree
qt-apps/qtauto-deployment-server.git	The Neptune Reference Application Store Server			summarylogtree
qt-apps/qtdemos-super.git	Aggregator repository for Qt demos.		16 months	summarylogtree
qt-apps/qtwebbrowser.git	Qt WebEngine based browser for embedded touch devices.			summarylogtree
qt-apps/snowshoe.git	SnowShoe Web Browser		16 months	summarylogtree
qt-apps/stb-demo.git	Set-Top-Box demo		16 months	summarylogtree
qt-creator/binary-artifacts.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
qt-creator/elfutils.git	Fork of git://sourceware.org/git/elfutils.git		16 months	summarylogtree
qt-creator/kdab-plugin-gammaray.git	KDAB's GammaRay plugin for QtCreator.			summarylogtree
qt-creator/pcore-plugin-appman.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...			summarylogtree
qt-creator/perfparser.git	Parser for perf data files, creates output suitable for the QtCreator plugin		10 months	summarylogtree
qt-creator/plugin-fossil-scm.git	Fossil SCM plugin for Qt Creator		16 months	summarylogtree
qt-creator/plugin-haskell.git	Haskell plugin for Qt Creator.		16 months	summarylogtree
qt-creator/plugin-pythonextensions.git	Support for writing Python extensions for QtCreator		16 months	summarylogtree
qt-creator/plugin-telemetry.git	A plugin that collects usage data from Qt Creator users. This data is used to im...		7 weeks	summarylogtree
qt-creator/qt-creator.git	A cross-platform Qt IDE		23 hours	summarylogtree
qt-creator/qt-creator_coin.git	CoIn product definition for Qt Creator.		16 months	summarylogtree
qt-creator/qtc-super.git	avatars-gravatar.jar bin change-index cla.tar.gz clean_build_refs frederik_confi...		16 months	summarylogtree
qt-extensions/qthttpserver.git	Qt Extension: Qt HTTP Server		16 months	summarylogtree
qt-extensions/qtquickcalendar.git	Qt Extension: Calendar			summarylogtree
qt-extensions/qtquickmultieffect.git	Repository for QtQuickMultiEffect		12 months	summarylogtree
qt-extensions/qttreeview.git	Qt Extension: TreeView		16 months	summarylogtree
qt-labs/android-studio-tools.git	Tools for developing and building Qt apps from Android Studio and integrating th...			summarylogtree
